BLOCK;DATETIME;SENDER;DONATION[BTC];SUM[BTC];RATE[AGS/BTC]
"276976";"2013-12-26 02:31:12 UTC";"1CXEo9yJwU5V3d6FmGyt6ni8KFE26i6t8i";"0.15";"0.15";"33333.33333333"
"276992";"2013-12-26 03:51:29 UTC";"1Dgg6smWCCKLr488ogTKSehLK4djEGHKhE";"1.2";"1.35";"3703.7037037"
"276992";"2013-12-26 03:51:29 UTC";"1JuFMeZsWvBPhkZioHy8xDxgRL4bwquoF9";"0.0492";"1.3992";"3573.4705546"
"277001";"2013-12-26 04:50:42 UTC";"1GwqVEwMiwEwifRaLnRB14CJQ4rjqaJmvR";"0.01860803";"1.5992";"3126.56328164"
"277001";"2013-12-26 04:50:42 UTC";"14RCmbrCa9JRoyfaadNytHkETDqgffVihJ";"0.010214";"1.5992";"3126.56328164"
"277001";"2013-12-26 04:50:42 UTC";"1EmFGWtWgAF8ZjDHHMZPqRZvSboLjWEY2r";"0.17117797";"1.5992";"3126.56328164"
"277100";"2013-12-26 18:34:19 UTC";"1HrtQ4tDQzVjr9v47T446iQAj4EpacmjHz";"0.5";"2.0992";"2381.8597561"
"277150";"2013-12-27 01:55:23 UTC";"1PaPeaZKfNzc7uD8VvXLKyEbxc3roHNzEn";"0.1";"2.1992";"2273.55401964"
"277181";"2013-12-27 06:12:35 UTC";"1KVR6eyJMuXJJGNFjAGpS9F167GqzEg2d9";"1.23";"3.4292";"1458.06602123"
"277202";"2013-12-27 09:02:47 UTC";"1eCtrcG26jkNMfQ4RUKTxYFTxvmiSsfuh";"0.00380742";"3.4452003";"1451.29442837"
"277202";"2013-12-27 09:02:47 UTC";"1KRWpgeXT7KFXkG347YCDkGUprpt7nW7mw";"0.01219288";"3.4452003";"1451.29442837"
"277213";"2013-12-27 09:45:05 UTC";"1LgU2dHSB3vn3KFGRG26C2vbg7Xz6dsAKq";"1.37044498";"4.81564528";"1038.28245423"
"277243";"2013-12-27 14:02:43 UTC";"13jFA1YetkCmdokPL9BaeeVXBfdCQymhW1";"0.01016596";"4.82581124";"1036.09522862"
"277243";"2013-12-27 14:02:43 UTC";"1GXKawWrtpYKzwRyUU8QNTJiK49L1Pd6Lw";"0.02";"4.85793576";"1029.24374611"
"277243";"2013-12-27 14:02:43 UTC";"1JcaVwyqcgJwSJrnkgmAPgDyT8debxfvL3";"0.01212452";"4.85793576";"1029.24374611"
"277249";"2013-12-27 15:03:33 UTC";"1aQURHDuebbJEbpBQxkWRAdW8TX8ofU17";"0.061721";"4.91965676";"1016.33106615"
"277292";"2013-12-27 21:09:28 UTC";"1HH8qRWk6F5TwUTQQLEUJyXDiMqSuhDgFX";"3.14";"8.05965676";"620.37381354"
"277328";"2013-12-28 02:05:23 UTC";"1LD9dLjKJnub1FUKeEukgsW4kwo1ZyeTaa";"2.0";"10.05965676";"497.03485112"
"277331";"2013-12-28 02:14:09 UTC";"16WMNUQp285cJoZGYiRu9EbFrJntcmJkUU";"1.0";"11.05965676";"452.09359644"
"277337";"2013-12-28 03:49:13 UTC";"1PiGaiCr7gjaXMPqUqkmQJLDyogDtCYd1T";"1.0";"12.05965676";"414.60549827"
"277337";"2013-12-28 03:49:13 UTC";"1LdFFJBHGuW8dX8hWmkAu5znbBjdpVrGGW";"0.5";"12.55965676";"398.10005126"
"277371";"2013-12-28 07:41:47 UTC";"18xs7qYuJZVeVLNbaxsCvBYPSsefbVMZAj";"1.0";"13.55965676";"368.74089724"
"277379";"2013-12-28 09:28:23 UTC";"1FpEiNRrP4Ro627q1H8wZaN5RNEzT5Aj6J";"0.45";"14.00965676";"356.89668103"
"277417";"2013-12-28 15:16:23 UTC";"1LLx3u3w3QhrCvdT8WuHGc13WS6h5Fi3RP";"0.06";"14.06965676";"355.37469643"
"277495";"2013-12-29 03:42:52 UTC";"15RaBJyQTHUtdcvrr7QrRF7gh626vVk68n";"1.414";"15.48365676";"322.92113404"
