BLOCK;DATETIME;TX;DONAR;DONATION[BTC];DAYSUM[BTC];DAYRATE[AGS/BTC];RELATED_ADDR
276976;2013-12-26 02:31:12 UTC;ecd7c11c6ba8c48e50c0efb1eb36c0d5422552d8ae8cb4f71b8f4d0eb822f020;1CXEo9yJwU5V3d6FmGyt6ni8KFE26i6t8i;0.15;0.15;33333.33333333;
276992;2013-12-26 03:51:29 UTC;eb24f28ed223aec065fb3bf09a26029043c9835eec11b78d484049b362af6bd1;1Dgg6smWCCKLr488ogTKSehLK4djEGHKhE;1.2;1.35;3703.7037037;
276992;2013-12-26 03:51:29 UTC;0aaca34877341dfed2b201a24e133fc4dcfec9a1633dd772399b858a6b93ae38;1JuFMeZsWvBPhkZioHy8xDxgRL4bwquoF9;0.0492;1.3992;3573.4705546;
277001;2013-12-26 04:50:42 UTC;64cf8b3015bf5796a7dbb19223be05d08048d9032478a6813bcee86df29532f0;1GwqVEwMiwEwifRaLnRB14CJQ4rjqaJmvR;0.2;1.5992;3126.56328164;14RCmbrCa9JRoyfaadNytHkETDqgffVihJ,1EmFGWtWgAF8ZjDHHMZPqRZvSboLjWEY2r
277100;2013-12-26 18:34:19 UTC;c9f20ad0c2f292c59a87c8815e96b6005b9640076addcfae2fc299c73b5b0a6b;1HrtQ4tDQzVjr9v47T446iQAj4EpacmjHz;0.5;2.0992;2381.8597561;
277150;2013-12-27 01:55:23 UTC;03303f3892f06ceb570c734e502157d101a94c0d5d7a519a57f4a3bf5212a138;1PaPeaZKfNzc7uD8VvXLKyEbxc3roHNzEn;0.1;2.1992;2273.55401964;
277181;2013-12-27 06:12:35 UTC;3bd03886e636c1b5ad319facdccc5d3512cfd02d99e560f39dc164a65ce81bbb;1KVR6eyJMuXJJGNFjAGpS9F167GqzEg2d9;1.23;3.4292;1458.06602123;
277202;2013-12-27 09:02:47 UTC;8c44bff4970bba912054678294323b6c4f27d1fe26699c1e8a90f3fb51f5bedf;1eCtrcG26jkNMfQ4RUKTxYFTxvmiSsfuh;0.0160003;3.4452003;1451.29442837;1KRWpgeXT7KFXkG347YCDkGUprpt7nW7mw
277213;2013-12-27 09:45:05 UTC;e93b35583736ffb2ee11c71b65f87ba99627e5c14f6898efc81c687809bb9b85;1LgU2dHSB3vn3KFGRG26C2vbg7Xz6dsAKq;1.37044498;4.81564528;1038.28245423;
277243;2013-12-27 14:02:43 UTC;1b6c0eaa1a4abdd3be1c433a040c04729548e441245adb576c624a37e9cd9093;13jFA1YetkCmdokPL9BaeeVXBfdCQymhW1;0.01016596;4.82581124;1036.09522862;
277243;2013-12-27 14:02:43 UTC;1cb3ec6d4492b7573460f269752032ecc6b6fcb35e3c97b6520e646c67b09277;1GXKawWrtpYKzwRyUU8QNTJiK49L1Pd6Lw;0.03212452;4.85793576;1029.24374611;1JcaVwyqcgJwSJrnkgmAPgDyT8debxfvL3
277249;2013-12-27 15:03:33 UTC;55ee9428fad073d44c17983e870c0b1a4f917d9543094c17821cc2465d104b45;1aQURHDuebbJEbpBQxkWRAdW8TX8ofU17;0.061721;4.91965676;1016.33106615;
277292;2013-12-27 21:09:28 UTC;23e1207008fefb533f027e5ec053c6da7991a67f452dea7abf657df32bfa9a6f;1HH8qRWk6F5TwUTQQLEUJyXDiMqSuhDgFX;3.14;8.05965676;620.37381354;
277328;2013-12-28 02:05:23 UTC;0685ce8df1d390444cfc0beb8270a7217f51b9511a26bc4c0bfca9bee242d975;1LD9dLjKJnub1FUKeEukgsW4kwo1ZyeTaa;2.0;10.05965676;497.03485112;
277331;2013-12-28 02:14:09 UTC;91264149b9ed538505939f1f8390f232ee4a90b4ee05ae1ed829af9ad22a7128;16WMNUQp285cJoZGYiRu9EbFrJntcmJkUU;1.0;11.05965676;452.09359644;
277337;2013-12-28 03:49:13 UTC;815507ae58cecae40e741deab37d41227627f0735e8c13104eb6781f01e361b8;1PiGaiCr7gjaXMPqUqkmQJLDyogDtCYd1T;1.0;12.05965676;414.60549827;
277337;2013-12-28 03:49:13 UTC;a09a09a5bfe506178af3fb87c1d4a271104c415d3ab43ccf3099c5136e243c5e;1LdFFJBHGuW8dX8hWmkAu5znbBjdpVrGGW;0.5;12.55965676;398.10005126;
277371;2013-12-28 07:41:47 UTC;abc20689f9e602a77b747d380484cdba918239e1422c2e3996deffd26f61bd72;18xs7qYuJZVeVLNbaxsCvBYPSsefbVMZAj;1.0;13.55965676;368.74089724;
277379;2013-12-28 09:28:23 UTC;8d966fac52687ba64443f75827ad08e5f7c450240e7dabb1602db163118e956d;1FpEiNRrP4Ro627q1H8wZaN5RNEzT5Aj6J;0.45;14.00965676;356.89668103;
277417;2013-12-28 15:16:23 UTC;024f77b5451020cc7940760bce6004fafb96888974a5336fd04017086b1eea92;1LLx3u3w3QhrCvdT8WuHGc13WS6h5Fi3RP;0.06;14.06965676;355.37469643;
277495;2013-12-29 03:42:52 UTC;98318bbcbc5364b5dd38a8b0e3508ad219fe50536eec94472709cd3c0fce31c7;15RaBJyQTHUtdcvrr7QrRF7gh626vVk68n;1.414;15.48365676;322.92113404;
277498;2013-12-29 04:35:41 UTC;a143a980239ef82e6d9ca9b10afa86fd591e0b1b0719117fd367fd3a5d6e86fb;1NVybDozVwHkPjhwsWELHoNacxHyCpbz3M;0.96735805;16.45101481;303.932618;
277567;2013-12-29 14:53:51 UTC;b5e3799bc69c06915780e947aab2be84e58759955a6db6c54177698b95f00e13;1LjH6qL76MJ3PNBgxmFeXiUr43sdyCaey1;0.155;16.60601481;301.09572087;
