BLOCK;DATETIME;SENDER;DONATION[PTS];SUM[PTS];RATE[AGS/PTS]
"35452";"2013-12-26 01:48:44 UTC";"PpsLSKnnANVrvCcRujjgSqTyN5GHFYghcN";"500.0";"500.0";"10.0"
"35458";"2013-12-26 02:15:22 UTC";"PuwK6ANGJRvYoYbaXtvzWamZBcdDrFAJik";"14.27250002";"600.0";"8.33333333"
"35458";"2013-12-26 02:15:22 UTC";"Pcr9yRyr2WvqZTWTERzmrTNMEQnWJY2pco";"85.72749998";"600.0";"8.33333333"
"35483";"2013-12-26 04:41:22 UTC";"Pj15XhEP4cQ6JB44LicGVi9CTZgWP9RnyQ";"1.0";"601.0";"8.31946755"
"35484";"2013-12-26 04:46:23 UTC";"PwG3N2fJ4MGtLJ2Gpvj9WT5xtEbSNnmMuJ";"5.0";"606.0";"8.25082508"
"35484";"2013-12-26 04:46:23 UTC";"PcovMofpK9W6rAuU27CUYZZLs7nWUx9S5m";"0.05";"606.05";"8.25014438"
"35486";"2013-12-26 04:49:44 UTC";"PemwHf2nd6E9jJ1cy4CiGXrZsf8SyP9uno";"3.0";"609.05";"8.20950661"
"35499";"2013-12-26 06:35:27 UTC";"PoacRtXDgKvz7tYL91J2iswz6XoAedKu7y";"20.0";"629.05";"7.94849376"
"35531";"2013-12-26 08:49:36 UTC";"Pqm3VNiPc296ayR171AQ5uAJE1MaxubdFH";"4.01894";"634.05";"7.88581342"
"35531";"2013-12-26 08:49:36 UTC";"PYFgNbkLZdfkoVwVobVfg3Tv7gFU7LwudE";"0.98106";"634.05";"7.88581342"
"35599";"2013-12-26 17:05:01 UTC";"Pqfw29sQ8D9gpgPUMMWRXSj3rzrg8zS4cE";"0.12345678";"634.17345678";"7.88427826"
"35612";"2013-12-26 18:49:22 UTC";"PmJwbQBFssGK1yd1GLQb8hHswzyRkqqNzB";"3.7531";"637.92655678";"7.83789285"
"35682";"2013-12-27 01:32:03 UTC";"Pte9qDpQfgkSUAreRsA5ZmNnx1hseFgtPU";"1.01";"638.93655678";"7.82550309"
"35696";"2013-12-27 03:12:04 UTC";"Pa5C3JdX4SmSVdWwKJUSDAqKQfkua6oHL3";"1.0";"639.93655678";"7.81327453"
"35700";"2013-12-27 03:51:04 UTC";"PjXBwtCULHcFWiS3fm7bitVPd7o46p4z4f";"1.0";"640.93655678";"7.80108413"
"35802";"2013-12-27 13:59:34 UTC";"PjsRLuzoci2NqPwfT748raPTvYxJ2EG93x";"0.1";"641.03655678";"7.79986718"
"35828";"2013-12-27 15:53:16 UTC";"Pqz1Md559NgRFi7Ujr8JZYUmxnqRrv4tfa";"1.95";"642.98655678";"7.77621234"
"35979";"2013-12-28 05:47:41 UTC";"PagVfZQLXoe28o63JRqXBXQd4bm9B6vchs";"0.33";"643.31655678";"7.77222341"
"36022";"2013-12-28 09:16:15 UTC";"PieCUUmTkkoP2giHLNyyX7owr2K47iwDrF";"1.0";"644.31655678";"7.76016067"
"36095";"2013-12-28 17:01:20 UTC";"Pp5tksWSgv4biMhoZ9oz2GeD95nSQUGAqD";"19.0";"663.31655678";"7.53787908"
"36102";"2013-12-28 17:30:43 UTC";"Pig6BWb2CeQKAjbBaxkKWCHfiPgjxaZi4N";"2.9609";"668.31655678";"7.48148456"
"36102";"2013-12-28 17:30:43 UTC";"PY2UAMEnAgw9XeEoMibBrzPmiMBo4y6cn5";"0.9263";"668.31655678";"7.48148456"
"36102";"2013-12-28 17:30:43 UTC";"PfH1WcTJCyYboHmNvNEQWguVyDVreQ7d7z";"1.1128";"668.31655678";"7.48148456"
"36194";"2013-12-29 01:28:40 UTC";"Pqfw29sQ8D9gpgPUMMWRXSj3rzrg8zS4cE";"0.20522167";"668.59082678";"7.4784155"
"36194";"2013-12-29 01:28:40 UTC";"Pp48Y1T2YVhe7959vNFAGR5ZuNFnTVV1QJ";"0.06904833";"668.59082678";"7.4784155"
"36228";"2013-12-29 04:05:37 UTC";"Per5D9pyvwy22eqCgsBbeKed3WR5S3a8tW";"0.98";"669.57082678";"7.46746991"
"36230";"2013-12-29 04:20:47 UTC";"PqHjFKbeaaBEvucnLNs68izER9F8WfBnpE";"2.0";"671.57082678";"7.44523109"
"36310";"2013-12-29 11:46:29 UTC";"PaK7JZiziT3GR6dVHRyVwbRDfewPzt58WX";"0.0441";"671.67082678";"7.44412263"
"36310";"2013-12-29 11:46:29 UTC";"PiG3BEBvqBFpcu4ywVALkwn42nutu45g7o";"0.0559";"671.67082678";"7.44412263"
